Filesystem      Size  Used Avail Use% Mounted on
tmpfs           198M  2.8M  195M   2% /run
/dev/sda2        49G   11G   37G  23% /
tmpfs           989M     0  989M   0% /dev/shm
tmpfs           5.0M     0  5.0M   0% /run/lock
/dev/sda1       511M  5.3M  506M   2% /boot/efi
tmpfs           198M   80K  198M   1% /run/user/127
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/d2df27164cd4a16ee070055cfa3a204fa2660796775092bade28d3620a285275/shm
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/d8b8d0d402c14d1cdfb9dbe504a8b5e2b2d070980b7eac6959c65b71a7528dc7/shm
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/2cbd0a86a7bcec2f89f9b3f24f4eac38135dd05a8f3aba2e892ba751501b68bf/shm
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/1deca80252ab58e238c66b8e43bf2f982b8dd3dd64bcdb8d2428c3ff7ae5c5b3/shm
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/d8b8d0d402c14d1cdfb9dbe504a8b5e2b2d070980b7eac6959c65b71a7528dc7/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/1deca80252ab58e238c66b8e43bf2f982b8dd3dd64bcdb8d2428c3ff7ae5c5b3/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/2cbd0a86a7bcec2f89f9b3f24f4eac38135dd05a8f3aba2e892ba751501b68bf/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/d2df27164cd4a16ee070055cfa3a204fa2660796775092bade28d3620a285275/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/d2a8d6e05898d4da7fd7a74b407e841ad662e26fe721cef1cf8c514c730c790e/rootfs
tmpfs           170M   12K  170M   1% /var/lib/kubelet/pods/c083db01-2ea8-4daf-b2f5-361f4b87ec98/volumes/kubernetes.io~projected/kube-api-access-hvsw5
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/b6f63e81-3e13-4bcc-8e49-03b21c039d50/volumes/kubernetes.io~projected/kube-api-access-lmwjl
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/ef4bfac2-7741-494f-b502-3add274a574e/volumes/kubernetes.io~projected/kube-api-access-b9xcq
tmpfs           170M   12K  170M   1% /var/lib/kubelet/pods/b7d396c4-fed1-434e-8f3a-275d048bc995/volumes/kubernetes.io~projected/kube-api-access-pm44m
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/84a0e2b6830dc3890d40b624d754b0a1ff6b5166a7f3d5f017f1e562924cca4a/shm
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/a0393259838375c651c9e5a5330f7ba4e0607e27c2db9d7e386a5375b4012175/shm
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/a0393259838375c651c9e5a5330f7ba4e0607e27c2db9d7e386a5375b4012175/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/84a0e2b6830dc3890d40b624d754b0a1ff6b5166a7f3d5f017f1e562924cca4a/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/8d1e257905ccfe76757f069d3aa847d2f3048a9dc1cf2a8bebb3495813a4c62f/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/206a1d59734bc220cbaea08b5cbbebd614b12f0ad1c0cb9726a6f202b1788d59/rootfs
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/86f1bf3375346a796db7512ad2d51d82cf49c1e54d9edb2e9a705db8620bdf11/shm
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/86f1bf3375346a796db7512ad2d51d82cf49c1e54d9edb2e9a705db8620bdf11/rootfs
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/c248a69a65d1b06cd54acf9a5c08d030ae1857962736f6071b4b83fd2e491d90/shm
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/c248a69a65d1b06cd54acf9a5c08d030ae1857962736f6071b4b83fd2e491d90/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/d26f986b4fa81239822c8912bfe3cd96795b58558795f470af1716ca6ec8c8be/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/ef0732b4c15bb1296589b966c629df4eb47048eab053046bcf3e339707d8cb69/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/ad6ef0aa3986060874a69dd01d87bbe1e3459cc63cd9c525f40ec46cba2b716f/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/9195dfce5ac1e85e195b69d2a6cea2438326cf8cbdfe1df7d1e17153e79051db/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/5e21a59f3d6e4c0db1b7a9659e1f655e7ef43f20428aedb7c333aad89a507f43/rootfs
tmpfs           198M   68K  198M   1% /run/user/1000
