I0429 08:14:55.513553       1 handler.go:275] Adding GroupVersion metrics.k8s.io v1beta1 to ResourceManager
I0429 08:14:55.633068       1 secure_serving.go:213] Serving securely on [::]:10250
I0429 08:14:55.633710       1 requestheader_controller.go:169] Starting RequestHeaderAuthRequestController
I0429 08:14:55.633727       1 shared_informer.go:311] Waiting for caches to sync for RequestHeaderAuthRequestController
I0429 08:14:55.633755       1 dynamic_serving_content.go:132] "Starting controller" name="serving-cert::/tmp/apiserver.crt::/tmp/apiserver.key"
I0429 08:14:55.633939       1 tlsconfig.go:240] "Starting DynamicServingCertificateController"
I0429 08:14:55.634485       1 configmap_cafile_content.go:202] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
I0429 08:14:55.634501       1 shared_informer.go:311] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
I0429 08:14:55.634517       1 configmap_cafile_content.go:202] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file"
I0429 08:14:55.634543       1 shared_informer.go:311] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file
I0429 08:14:55.733853       1 shared_informer.go:318] Caches are synced for RequestHeaderAuthRequestController
I0429 08:14:55.735008       1 shared_informer.go:318] Caches are synced for client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file
I0429 08:14:55.735077       1 shared_informer.go:318] Caches are synced for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
E0429 08:15:05.627065       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
I0429 08:15:15.900532       1 server.go:191] "Failed probe" probe="metric-storage-ready" err="no metrics to serve"
E0429 08:15:20.621913       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
E0429 08:15:35.616242       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
E0429 08:15:50.636598       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
E0429 08:16:05.635410       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
E0429 08:16:20.639222       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
E0429 08:16:35.627038       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
E0429 08:16:50.625900       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
E0429 08:17:05.619785       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
E0429 08:17:20.629152       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
E0429 08:17:35.634599       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
E0429 08:17:50.617291       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
E0429 08:18:05.633523       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
E0429 08:18:20.623036       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
E0429 08:18:35.630267       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
E0429 08:18:50.622743       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
E0429 08:19:05.638024       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
E0429 08:19:20.629753       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
E0429 08:19:35.638872       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
E0429 08:22:35.621355       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
E0429 08:22:50.638063       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
E0429 08:22:55.626964       1 scraper.go:149] "Failed to scrape node" err="Get \"https://172.16.0.86:10250/metrics/resource\": http2: client connection lost" node="xp06-vm22"
E0429 08:23:20.634691       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
E0429 08:23:26.668839       1 scraper.go:149] "Failed to scrape node" err="Get \"https://172.16.0.86:10250/metrics/resource\": dial tcp 172.16.0.86:10250: connect: no route to host" node="xp06-vm22"
E0429 08:23:41.676798       1 scraper.go:149] "Failed to scrape node" err="Get \"https://172.16.0.86:10250/metrics/resource\": dial tcp 172.16.0.86:10250: connect: no route to host" node="xp06-vm22"
E0429 08:25:05.635495       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
E0429 08:25:20.622634       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
E0429 08:25:25.643792       1 scraper.go:149] "Failed to scrape node" err="Get \"https://172.16.0.86:10250/metrics/resource\": http2: client connection lost" node="xp06-vm22"
E0429 08:25:50.619747       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
E0429 08:25:56.684904       1 scraper.go:149] "Failed to scrape node" err="Get \"https://172.16.0.86:10250/metrics/resource\": dial tcp 172.16.0.86:10250: connect: no route to host" node="xp06-vm22"
E0429 08:26:11.660005       1 scraper.go:149] "Failed to scrape node" err="Get \"https://172.16.0.86:10250/metrics/resource\": dial tcp 172.16.0.86:10250: connect: no route to host" node="xp06-vm22"
E0429 08:54:35.627210       1 scraper.go:147] "Failed to scrape node, timeout to access kubelet" err="Get \"https://172.16.0.86:10250/metrics/resource\": context deadline exceeded" node="xp06-vm22" timeout="10s"
