Filesystem      Size  Used Avail Use% Mounted on
tmpfs           198M  2.6M  196M   2% /run
/dev/sda2        49G   11G   37G  23% /
tmpfs           989M     0  989M   0% /dev/shm
tmpfs           5.0M     0  5.0M   0% /run/lock
/dev/sda1       511M  5.3M  506M   2% /boot/efi
tmpfs           198M   80K  198M   1% /run/user/127
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/6ccedc6e-c026-4f63-a9ef-db61f57e6fde/volumes/kubernetes.io~projected/kube-api-access-cf2cl
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/2ba600ce-600f-4539-8507-03cc63103cce/volumes/kubernetes.io~projected/kube-api-access-p64wt
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/ff9c2ceb-275e-4843-9891-70a0f948c4fa/volumes/kubernetes.io~projected/kube-api-access-mc7dk
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/73f181739b5f63eda49db8720eb8b137f99027bf2c58dd201a892e1ebf970421/shm
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/00a31d755ee2832a6a3e9c0c6b9aafbe25c3aea1b5a51286cbb388a4f15fa0f8/shm
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/73f181739b5f63eda49db8720eb8b137f99027bf2c58dd201a892e1ebf970421/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/00a31d755ee2832a6a3e9c0c6b9aafbe25c3aea1b5a51286cbb388a4f15fa0f8/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/90fbda7d488ca0ca37d57fde3c8abe4a1a4bd81695da609f614acfcee5f800f7/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/b569edaaffe8d3b60d969e85dc5e03bd62993d691b9885ef86432bf41a3f369e/rootfs
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/8ed19f9360807d22c805558022b71d53846066ce513b55afdce8ff38d94cadb9/shm
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/8ed19f9360807d22c805558022b71d53846066ce513b55afdce8ff38d94cadb9/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/6c02c48d7f934fe95a8eb6c44e7b132374470eb742f05e78593e9fe8058292ce/rootfs
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/a3ccfc2a-d2fb-4d51-9772-fb1ca61879b1/volumes/kubernetes.io~projected/kube-api-access-cl4vw
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/081848cf39731dde30d3c010b2bcf50269b8f4617e693c9b6f0a02cbb29f449b/shm
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/2aacafb8-1393-4b11-8eab-98c6e64f41e8/volumes/kubernetes.io~projected/kube-api-access-j94d5
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/081848cf39731dde30d3c010b2bcf50269b8f4617e693c9b6f0a02cbb29f449b/rootfs
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/5bf56f209ae30104823301e359186d98dfd4a9b95b68b37e0c5cb586f8b4be60/shm
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/5bf56f209ae30104823301e359186d98dfd4a9b95b68b37e0c5cb586f8b4be60/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/0abf8454838bb7b48dd7fba47f053bf3196ab6193c30f938bacb708dbca24264/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/f2731d1a9d968521cb31b8413543c6e6e4b1c0a7d70f0d93aed3bc9938e024b8/rootfs
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/d3248276-ad26-487b-9cc1-336cea325fb6/volumes/kubernetes.io~projected/kube-api-access-82ncw
tmpfs           1.5G   12K  1.5G   1% /var/lib/kubelet/pods/9026e400-c65a-423b-b236-4c4a32f50cf3/volumes/kubernetes.io~projected/kube-api-access-7gpdf
shm              64M     0   64M   0% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/a10832acebe53fbe98868c61dfe48554fa5f0e969aefc6ef89a409d398458e94/shm
shm              64M  1.1M   63M   2% /run/containerd/io.containerd.grpc.v1.cri/sandboxes/11e62cb686ab90988b25ee06d65239e98ab974f505a9a177e3bd97bb5f9ba3e2/shm
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/a10832acebe53fbe98868c61dfe48554fa5f0e969aefc6ef89a409d398458e94/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/11e62cb686ab90988b25ee06d65239e98ab974f505a9a177e3bd97bb5f9ba3e2/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/422542ab1fd9aac07f8c53fd928f333b7a68dd38f0ebcaba5bd57d17cc813f98/rootfs
overlay          49G   11G   37G  23% /run/containerd/io.containerd.runtime.v2.task/k8s.io/3fc30baeca4dfa815c9208e5dd1a59b1bf45b221d77dc7653c096fd64b1c469d/rootfs
tmpfs           198M   72K  198M   1% /run/user/1000
